"CODIGO";"DIGITO";"DESCRICAO";"NIVEL_1";"NIVEL_2";"NIVEL_3";"EMBALAGEM_FORNECEDOR";"EMBALAGEM_COMPRA";"CONVERSAO_COMPRA_ARMAZENAGEM";"UNIDADE_ESTOQUE";"EMBALAGEM_VENDA_0";"EMBALAGEM_VENDA_1";"EMBALAGEM_VENDA_2";"CD_VOLTAGEM"
"1007";"3";"CABECEIRA CIRCULAR P/CALHA DIR    BG";"H - TUBOS E CONEXOES";"HB - CALHAS E ACESSORIOS";"HBA - CALHAS E ACESSORIOS DE PVC";"CX-12-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"PT-12-UN";"EB-60-UN";"0"
"101702";"0";"REFRIG. 1P 261L DSECO BR  CRA30 M220";"D - ELETROS";"DB - REFRIGERACAO";"DBA - REFRIGERADORES";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"102242";"3";"RESIST.DUCH.GOR.4T  5700W       M220";"U - METAIS E ACESSORIOS";"UA - DUCHAS E CHUVEIROS";"UAB - RESISTENCIAS ELETRICAS";"CX-10-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-10-UN";"EB-50-UN";"2"
"102450";"7";"VALV.RET.ROSCA         3/4  27957200";"U - METAIS E ACESSORIOS";"UD - REGISTROS E VALVULAS";"UDG - VALVULAS DE PE E RETENCAO DE PVC";"CX-12-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"PT-6-UN";"EB-30-UN";"0"
"1029";"4";"BOCAL CIRCULAR P/CALHA            BG";"H - TUBOS E CONEXOES";"HB - CALHAS E ACESSORIOS";"HBA - CALHAS E ACESSORIOS DE PVC";"CX-48-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"PT-6-UN";"EB-30-UN";"0"
"104342";"0";"CABO ANTICH.SUP.FLEX(R100M) 2,5MM BR";"E - MATERIAIS ELETRICOS";"EB - FIOS, CABOS E CONECTORES";"EBA - CABOS DE ENERGIA";"RL-100-ML";"ML-1-ML";"1,000000";"ML";"RL-100-ML";"EB-500-ML";" ";"0"
"107756";"2";"FOGAO INDL.3B            PE AP VAP3P";"N - INDUSTRIAL E NEGOCIOS";"NA - COZINHA INDUSTRIAL";"NAA - FOGOES";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"113659";"3";"ESTUFA  3 BAND SP VC         W3 M220";"N - INDUSTRIAL E NEGOCIOS";"NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL";"NBD - VITRINES E ESTUFAS";"CX-10-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"114778";"1";"ABRACAD.NYL. 2,5X100MM PT      100UN";"E - MATERIAIS ELETRICOS";"EB - FIOS, CABOS E CONECTORES";"EBE - ABRACADEIRAS";"CX-500-CA";"CA-1-CA";"1,000000";"CA";"CA-1-CA";"CX-50-CA";"EB-250-CA";"0"
"117120";"8";"ABRACAD.NYL. 3,6X300MM BR      100UN";"E - MATERIAIS ELETRICOS";"EB - FIOS, CABOS E CONECTORES";"EBE - ABRACADEIRAS";"CX-10-CA";"CA-1-CA";"1,000000";"CA";"CA-1-CA";"CX-8-CA";"EB-40-CA";"0"
"117787";"7";"DUCHA JET SET 4T 6800W BR40150  M220";"U - METAIS E ACESSORIOS";"UA - DUCHAS E CHUVEIROS";"UAA - CHUVEIROS";"CX-4-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-4-UN";"EB-20-UN";"2"
"118126";"2";"ASSADEIRA REFRAT.02PC RETANG.   1512";"B - UTILIDADES DOMESTICAS";"BA - COZINHAR";"BAH - FORMAS E ASSADEIRAS";"CX-4-JG";"CX-1-CX";"4,000000";"JG";"JG-1-JG";"CX-4-JG";"EB-20-JG";"0"
"119190";"0";"FOGAO INDL.1B PE   30 AP       VAP1P";"N - INDUSTRIAL E NEGOCIOS";"NA - COZINHA INDUSTRIAL";"NAA - FOGOES";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"119738";"0";"RESIST.DUCH.GOR.3T  5400W       M220";"U - METAIS E ACESSORIOS";"UA - DUCHAS E CHUVEIROS";"UAB - RESISTENCIAS ELETRICAS";"CX-20-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-10-UN";"EB-50-UN";"0"
"119953";"6";"CX.ELET.EX.AL X   3/4      COM TAMPA";"E - MATERIAIS ELETRICOS";"EC - CAIXAS, DUTOS E CALHAS ELETRICAS";"ECC - CAIXAS DE PASSAGEM EXTERNAS (CONDULETES)";"CX-12-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-12-UN";"EB-60-UN";"0"
"119959";"5";"ADAPTA.CX.ELET.AL    3/4   56251/052";"E - MATERIAIS ELETRICOS";"EC - CAIXAS, DUTOS E CALHAS ELETRICAS";"ECR - CAIXAS E PLACAS PARA MECANISMOS";"CX-100-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"CX-100-UN";"EB-500-UN";"0"
"121901";"4";"MOTOSERRA GAS.1,6KW MS210 S35CM 0013";"M - MAQUINAS E MOTORES";"MF - AGRICOLAS E JARDINAGEM";"MFC - MOTOSSERRAS E ELETROSERRAS";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-3-UN";"EB-9-UN";"0"
"12437";"0";"BACIA SNT.INFANTIL        08254 BR01";"W - LOUCAS E PIAS";"WA - BACIAS E CAIXAS";"WAA - BACIAS SANITARIAS";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"124475";"2";"CUBA IX SOB.AC.50X40 RET.C/V94025102";"W - LOUCAS E PIAS";"WB - CUBAS E PIAS";"WBB - CUBAS E PIAS PARA COZINHA";"CX-5-UN";"CX-1-CX";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"125596";"7";"CUBA LOC.APOIO 50X38 AGUA 61077 BR01";"W - LOUCAS E PIAS";"WB - CUBAS E PIAS";"WBA - CUBAS E LAVATORIOS DE LOUCA";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"127181";"4";"PORTA-GUARDANAPO CROMADO       ASA19";"B - UTILIDADES DOMESTICAS";"BH - ACESSORIOS PARA SERVIR - PRESENTES";"BHA - PORTA GUARDANAPOS";"CX-72-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-20-UN";"EB-100-UN";"0"
"127312";"4";"PANELA PRESSAO POL.4.5L  9295304948";"B - UTILIDADES DOMESTICAS";"BA - COZINHAR";"BAC - PANELAS DE PRESSAO";"CX-6-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"12901";"1";"TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG";"H - TUBOS E CONEXOES";"HA - TUBOS E CONEXOES";"HAF - TUBOS INDUSTRIAIS E INSTALACOES A GAS";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"0"
"133332";"1";"FORNO INDL.AVULSO        EXTRA   F6I";"N - INDUSTRIAL E NEGOCIOS";"NA - COZINHA INDUSTRIAL";"NAB - FORNOS";"CX-2-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"138854";"1";"FRITADOR AGUA/OLEO GAS   26L FAOAP30";"N - INDUSTRIAL E NEGOCIOS";"NA - COZINHA INDUSTRIAL";"NAF - FRITADORES";"CX-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"141870";"0";"LIXEIRA PLS      50.0L SELET. CZ 757";"N - INDUSTRIAL E NEGOCIOS";"NE - LIMPEZA E MANUTENCAO";"NED - CONTENTORES E LIXEIRAS";"CX-3-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"14539";"4";"BACIA SNT.SAVEIRO          0230 PG59";"W - LOUCAS E PIAS";"WA - BACIAS E CAIXAS";"WAA - BACIAS SANITARIAS";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"14540";"8";"COLUNA SAVEIRO             0220 PG59";"W - LOUCAS E PIAS";"WB - CUBAS E PIAS";"WBC - COLUNAS PARA CUBAS E PIAS";"UN-1-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-10-UN";" ";"0"
"146216";"4";"TINT.ACR.TOQUE.SEDA AC 18,0L   PALHA";"S - TINTAS E QUIMICOS";"SA - TINTAS";"SAA - TINTAS ACRILICAS E PVA";"PL-40-LO";"LO-1-LO";"1,000000";"LO";"LO-1-LO";"EB-5-LO";"EB-25-LO";"0"
"146361";"6";"TINT.ACR.DELANIL    FC  3,6L B.GARAN";"S - TINTAS E QUIMICOS";"SA - TINTAS";"SAA - TINTAS ACRILICAS E PVA";"PT-4-GL";"GL-1-GL";"1,000000";"GL";"GL-1-GL";"PT-4-GL";"EB-20-GL";"0"
"146364";"0";"TINT.ACR.DELANIL    FC  3,6L ARAR.AZ";"S - TINTAS E QUIMICOS";"SA - TINTAS";"SAA - TINTAS ACRILICAS E PVA";"PT-4-GL";"GL-1-GL";"1,000000";"GL";"GL-1-GL";"PT-4-GL";"EB-20-GL";"0"
