"CODIGO";"COD_EMPRESA";"CATEGORIA";"PRECO_EMBALAGEM_0";"PERC_DESCTO_ADICIONAL_EMBALAGEM_0";"PRECO_EMBALAGEM_1";"PRECO_EMBALAGEM_2"
"1007";"1";"LOJA";"25,095";"0,0000";"274,05";"1299,9"
"1007";"2";"LOJA";"31,395";"0,0000";"343,245";"1627,395"
"1007";"3";"LOJA";"20,895";"0,0000";"228,795";"1091,895"
"1007";"4";"LOJA";"31,395";"0,0000";"240,345";"1144,395"
"1007";"5";"LOJA";"23,1";"0,0000";"253,05";"1205,4"
"1007";"6";"LOJA";"25,095";"0,0000";"274,05";"1299,9"
"1007";"7";"LOJA";"31,395";"0,0000";"0";"0"
"1007";"8";"LOJA";"25,095";"0,0000";"274,05";"1299,9"
"1007";"9";"LOJA";"26,145";"0,0000";"285,495";"1354,395"
"1007";"92";"CD";"25,095";"0,0000";"274,05";"1299,9"
"101702";"1";"LOJA";"3274,95";"39,1151";"";""
"101702";"2";"LOJA";"3307,395";"39,7124";"";""
"101702";"3";"LOJA";"3338,895";"40,2811";"";""
"101702";"4";"LOJA";"3307,395";"39,7124";"";""
"101702";"5";"LOJA";"3274,95";"39,1151";"";""
"101702";"6";"LOJA";"3307,395";"39,7124";"";""
"101702";"7";"LOJA";"3443,895";"42,1019";"";""
"101702";"8";"LOJA";"3328,395";"40,0927";"";""
"101702";"9";"LOJA";"3338,895";"40,2811";"";""
"101702";"92";"CD";"3307,395";"39,7124";"";""
"101702";"93";"CD";"3275,895";"29,5170";"";""
"102242";"1";"LOJA";"34,545";"0,0000";"314,895";"1490,895"
"102242";"2";"LOJA";"34,545";"45,5927";"314,895";"1490,895"
"102242";"3";"LOJA";"40,845";"66,8380";"371,595";"1763,895"
"102242";"4";"LOJA";"34,545";"0,0000";"314,895";"1490,895"
"102242";"5";"LOJA";"40,845";"0,0000";"371,595";"1763,895"
"102242";"6";"LOJA";"35,595";"0,0000";"324,345";"1543,395"
"102242";"7";"LOJA";"39,795";"0,0000";"362,145";"1721,895"
"102242";"8";"LOJA";"34,545";"0,0000";"314,895";"1490,895"
"102242";"9";"LOJA";"40,845";"0,0000";"371,595";"1763,895"
"102242";"92";"CD";"33,495";"0,0000";"304,5";"1446,9"
"102242";"93";"CD";"33,495";"0,0000";"304,5";"1446,9"
"102450";"1";"LOJA";"31,395";"0,0000";"171,15";"813,75"
"102450";"2";"LOJA";"40,845";"0,0000";"223,545";"1060,395"
"102450";"3";"LOJA";"31,395";"0,0000";"172,095";"817,845"
"102450";"4";"LOJA";"40,845";"0,0000";"223,545";"1060,395"
"102450";"5";"LOJA";"53,55";"0,0000";"299,25";"1418,55"
"102450";"6";"LOJA";"26,145";"0,0000";"142,8";"677,25"
"102450";"8";"LOJA";"31,395";"0,0000";"171,15";"813,75"
"102450";"9";"LOJA";"38,745";"0,0000";"211,995";"1007,895"
"102450";"92";"CD";"38,745";"0,0000";"211,995";"1007,895"
"1029";"1";"LOJA";"87,045";"0,0000";"474,6";"2255,4"
"1029";"2";"LOJA";"104,895";"0,0000";"573,195";"2719,395"
"1029";"3";"LOJA";"87,045";"0,0000";"383,145";"1816,395"
"1029";"4";"LOJA";"96,495";"0,0000";"377,895";"1795,395"
"1029";"5";"LOJA";"87,045";"0,0000";"474,6";"2255,4"
"1029";"6";"LOJA";"83,895";"0,0000";"457,8";"2255,4"
"1029";"7";"LOJA";"87,045";"0,0000";"0";"0"
"1029";"8";"LOJA";"104,895";"0,0000";"0";"0"
"1029";"9";"LOJA";"87,045";"0,0000";"475,545";"2257,395"
"1029";"92";"CD";"96,495";"0,0000";"0";"0"
"104342";"1";"LOJA";"293,895";"0,0000";"1396,395";""
"104342";"2";"LOJA";"241,395";"0,0000";"1345,05";""
"104342";"3";"LOJA";"246,645";"0,0000";"1444,8";""
"104342";"4";"LOJA";"241,395";"0,0000";"1345,05";""
"104342";"5";"LOJA";"315,945";"0,0000";"1501,395";""
"104342";"6";"LOJA";"262,395";"0,0000";"1249,395";""
"104342";"7";"LOJA";"320,145";"0,0000";"1522,395";""
"104342";"8";"LOJA";"292,95";"0,0000";"1395,45";""
"104342";"9";"LOJA";"246,645";"0,0000";"1249,395";""
"104342";"92";"CD";"282,45";"0,0000";"1345,05";""
"107756";"1";"LOJA";"1175,895";"0,0000";"";""
"107756";"2";"LOJA";"1154,895";"0,0000";"";""
"107756";"3";"LOJA";"1133,895";"0,0000";"";""
"107756";"4";"LOJA";"1154,895";"0,0000";"";""
"107756";"5";"LOJA";"1112,895";"0,0000";"";""
"107756";"6";"LOJA";"1112,895";"0,0000";"";""
"107756";"7";"LOJA";"1081,395";"0,0000";"";""
"107756";"8";"LOJA";"1081,395";"0,0000";"";""
"107756";"9";"LOJA";"1133,895";"0,0000";"";""
"107756";"92";"CD";"1154,895";"0,0000";"";""
"107756";"93";"CD";"1123,395";"0,0000";"";""
"113659";"1";"LOJA";"524,895";"0,0000";"";""
"113659";"2";"LOJA";"524,895";"0,0000";"";""
"113659";"3";"LOJA";"524,895";"0,0000";"";""
"113659";"4";"LOJA";"524,895";"0,0000";"";""
"113659";"5";"LOJA";"524,895";"0,0000";"";""
"113659";"6";"LOJA";"524,895";"0,0000";"";""
"113659";"7";"LOJA";"524,895";"0,0000";"";""
"113659";"8";"LOJA";"524,895";"0,0000";"";""
"113659";"9";"LOJA";"524,895";"0,0000";"";""
"113659";"92";"CD";"524,895";"0,0000";"";""
"113659";"93";"CD";"524,895";"0,0000";"";""
"114778";"1";"LOJA";"7,245";"0,0000";"345,345";"1553,895"
"114778";"2";"LOJA";"6,195";"0,0000";"294,945";"1322,895"
"114778";"3";"LOJA";"6,195";"0,0000";"294,945";"1322,895"
"114778";"4";"LOJA";"6,195";"0,0000";"294,945";"1322,895"
"114778";"5";"LOJA";"6,195";"0,0000";"294,945";"1322,895"
"114778";"6";"LOJA";"6,195";"0,0000";"294,945";"1322,895"
"114778";"7";"LOJA";"7,245";"0,0000";"0";"0"
"114778";"8";"LOJA";"8,715";"0,0000";"415,695";"1868,895"
"114778";"9";"LOJA";"6,195";"0,0000";"294,945";"1322,895"
"114778";"92";"CD";"6,195";"0,0000";"294,945";"1322,895"
"117120";"1";"LOJA";"45,045";"0,0000";"343,245";"1543,395"
"117120";"2";"LOJA";"27,195";"0,0000";"207,795";"935,445"
"117120";"3";"LOJA";"28,245";"0,0000";"215,145";"969,045"
"117120";"4";"LOJA";"27,195";"0,0000";"207,795";"935,445"
"117120";"5";"LOJA";"27,195";"0,0000";"207,795";"935,445"
"117120";"6";"LOJA";"27,195";"0,0000";"207,795";"935,445"
"117120";"7";"LOJA";"31,395";"0,0000";"0";"0"
"117120";"8";"LOJA";"39,795";"0,0000";"0";"0"
"117120";"9";"LOJA";"28,245";"0,0000";"215,145";"969,045"
"117120";"92";"CD";"27,195";"0,0000";"207,795";"935,445"
"117787";"1";"LOJA";"209,895";"0,0000";"799,995";"3800,895"
"117787";"2";"LOJA";"209,895";"0,0000";"716,1";"3400,95"
"117787";"3";"LOJA";"209,895";"0,0000";"799,995";"3800,895"
"117787";"4";"LOJA";"209,895";"0,0000";"747,495";"3548,895"
"117787";"5";"LOJA";"198,45";"0,0000";"756";"3591"
"117787";"6";"LOJA";"163,8";"0,0000";"625,8";"2972,55"
"117787";"7";"LOJA";"219,45";"0,0000";"835,8";"3971,1"
"117787";"8";"LOJA";"187,95";"0,0000";"716,1";"3400,95"
"117787";"9";"LOJA";"209,895";"0,0000";"799,995";"3800,895"
"117787";"92";"CD";"177,45";"0,0000";"676,2";"3210,9"
"118126";"1";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"2";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"3";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"4";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"5";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"6";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"7";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"8";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"9";"LOJA";"129,045";"0,0000";"492,345";"2341,395"
"118126";"92";"CD";"129,045";"0,0000";"492,345";"2341,395"
"118126";"93";"CD";"129,045";"0,0000";"492,345";"2341,395"
"119190";"1";"LOJA";"608,895";"0,0000";"";""
"119190";"2";"LOJA";"608,895";"0,0000";"";""
"119190";"3";"LOJA";"608,895";"0,0000";"";""
"119190";"4";"LOJA";"608,895";"0,0000";"";""
"119190";"5";"LOJA";"608,895";"0,0000";"";""
"119190";"6";"LOJA";"608,895";"0,0000";"";""
"119190";"7";"LOJA";"608,895";"0,0000";"";""
"119190";"8";"LOJA";"608,895";"0,0000";"";""
"119190";"9";"LOJA";"608,895";"0,0000";"";""
"119190";"92";"CD";"608,895";"0,0000";"";""
"119190";"93";"CD";"608,895";"0,0000";"";""
"119738";"1";"LOJA";"33,495";"0,0000";"304,395";"1448,895"
"119738";"2";"LOJA";"32,445";"0,0000";"294,945";"1396,395"
"119738";"3";"LOJA";"35,595";"0,0000";"324,345";"1543,395"
"119738";"4";"LOJA";"32,445";"0,0000";"294,945";"1396,395"
"119738";"5";"LOJA";"36,645";"0,0000";"333,795";"1585,395"
"119738";"6";"LOJA";"35,595";"0,0000";"324,345";"1543,395"
"119738";"7";"LOJA";"36,645";"0,0000";"333,795";"1585,395"
"119738";"8";"LOJA";"33,495";"0,0000";"304,395";"1448,895"
"119738";"9";"LOJA";"35,595";"0,0000";"324,345";"1543,395"
"119738";"92";"CD";"34,545";"0,0000";"313,95";"1492,05"
"119953";"1";"LOJA";"18,795";"0,0000";"205,695";"974,295"
"119953";"2";"LOJA";"17,745";"0,0000";"194,145";"919,695"
"119953";"3";"LOJA";"17,745";"0,0000";"194,145";"919,695"
"119953";"4";"LOJA";"17,745";"0,0000";"194,145";"919,695"
"119953";"5";"LOJA";"19,845";"0,0000";"217,245";"1028,895"
"119953";"6";"LOJA";"18,795";"0,0000";"205,695";"974,295"
"119953";"7";"LOJA";"18,795";"0,0000";"0";"0"
"119953";"8";"LOJA";"18,795";"0,0000";"205,695";"974,295"
"119953";"9";"LOJA";"17,745";"0,0000";"194,145";"919,695"
"119953";"92";"CD";"18,795";"0,0000";"205,695";"974,295"
"119959";"1";"LOJA";"4,41";"0,0000";"400,995";"1900,395"
"119959";"2";"LOJA";"4,305";"0,0000";"391,545";"1858,395"
"119959";"3";"LOJA";"4,305";"0,0000";"391,545";"1858,395"
"119959";"4";"LOJA";"4,305";"0,0000";"391,545";"1858,395"
"119959";"5";"LOJA";"4,41";"0,0000";"400,995";"1900,395"
"119959";"6";"LOJA";"3,78";"0,0000";"344,295";"1627,395"
"119959";"7";"LOJA";"3,78";"0,0000";"344,295";"1627,395"
"119959";"8";"LOJA";"4,41";"0,0000";"400,995";"1900,395"
"119959";"9";"LOJA";"4,305";"0,0000";"391,545";"1858,395"
"119959";"92";"CD";"3,99";"0,0000";"362,145";"1721,895"
"121901";"1";"LOJA";"2089,395";"0,0000";"5970,3";"0"
"121901";"2";"LOJA";"2089,395";"0,0000";"5974,395";"0"
"121901";"3";"LOJA";"2089,395";"0,0000";"5974,395";"0"
"121901";"4";"LOJA";"2089,395";"0,0000";"5974,395";"0"
"121901";"5";"LOJA";"2173,395";"0,0000";"6205,395";"0"
"121901";"6";"LOJA";"2089,395";"0,0000";"5970,3";"0"
"121901";"7";"LOJA";"3170,895";"0,0000";"9061,395";"26365,395"
"121901";"8";"LOJA";"2089,395";"0,0000";"5970,3";"0"
"121901";"9";"LOJA";"2089,395";"0,0000";"5974,395";"0"
"121901";"92";"CD";"2089,395";"0,0000";"5974,395";"0"
"12437";"1";"LOJA";"544,95";"0,0000";"2593,395";"12316,395"
"12437";"2";"LOJA";"558,495";"0,0000";"2656,395";"12631,395"
"12437";"3";"LOJA";"544,95";"0,0000";"2593,395";"12316,395"
"12437";"4";"LOJA";"558,495";"0,0000";"2656,395";"12631,395"
"12437";"5";"LOJA";"591,045";"0,0000";"2813,895";"13366,395"
"12437";"6";"LOJA";"523,95";"0,0000";"2498,895";"11864,895"
"12437";"7";"LOJA";"544,95";"0,0000";"2593,395";"12316,395"
"12437";"8";"LOJA";"544,95";"0,0000";"2593,395";"12316,395"
"12437";"9";"LOJA";"544,95";"0,0000";"2593,395";"12316,395"
"12437";"92";"CD";"539,7";"0,0000";"0";"0"
"124475";"1";"LOJA";"1196,895";"0,0000";"5690,895";"27026,895"
"124475";"2";"LOJA";"1238,895";"0,0000";"5900,895";"28024,395"
"124475";"3";"LOJA";"1196,895";"0,0000";"5711,895";"27131,895"
"124475";"4";"LOJA";"1238,895";"0,0000";"5900,895";"28024,395"
"124475";"5";"LOJA";"1280,895";"0,0000";"6100,395";"28979,895"
"124475";"6";"LOJA";"1154,895";"0,0000";"5501,895";"26134,395"
"124475";"7";"LOJA";"1144,395";"0,0000";"5459,895";"25934,895"
"124475";"8";"LOJA";"1196,895";"0,0000";"5690,895";"27026,895"
"124475";"9";"LOJA";"1196,895";"0,0000";"5711,895";"27131,895"
"124475";"92";"CD";"1238,895";"0,0000";"5900,895";"28024,395"
"125596";"1";"LOJA";"1132,95";"0,0000";"5394,9";"25626,3"
"125596";"2";"LOJA";"1112,895";"45,6647";"5302,395";"25168,395"
"125596";"3";"LOJA";"1175,895";"48,0400";"5606,895";"26648,895"
"125596";"4";"LOJA";"1112,895";"0,0000";"5302,395";"25168,395"
"125596";"5";"LOJA";"1154,895";"62,0056";"5501,895";"26123,895"
"125596";"6";"LOJA";"1066,8";"0,0000";"5079,9";"24130,05"
"125596";"7";"LOJA";"1196,895";"63,3389";"5701,395";"27068,895"
"125596";"8";"LOJA";"1154,895";"0,0000";"5501,895";"26123,895"
"125596";"9";"LOJA";"1175,895";"0,0000";"0";"0"
"125596";"92";"CD";"1066,8";"0,0000";"0";"0"
"127181";"1";"LOJA";"13,545";"0,0000";"246,645";"1165,395"
"127181";"2";"LOJA";"12,495";"0,0000";"227,745";"1081,395"
"127181";"3";"LOJA";"13,545";"31,0100";"246,645";"1165,395"
"127181";"4";"LOJA";"12,495";"0,0000";"227,745";"1081,395"
