,DATA_ENTRADA,COD_EMPRESA,CODIGO,EMBALAGEM_FORNECEDOR,QUANTIDADE_COMPRA,UNIDADE_ESTOQUE,PRECO_UNIT_UNIDADE_COMPRA
0,2024-01-25,2,152965,CX-1-UN,12.0,UN,377.88939999999997
1,2024-01-04,2,152965,CX-1-UN,6.0,UN,377.88939999999997
2,2024-01-25,2,29896,CX-40-UN,120.0,UN,48.983399999999996
3,2024-01-04,2,29896,CX-40-UN,80.0,UN,48.983399999999996
4,2024-01-04,2,343150,CX-6-UN,6.0,UN,195.3696
5,2024-01-17,2,343150,CX-6-UN,6.0,UN,195.3696
6,2024-01-17,2,344697,CX-6-UN,6.0,UN,201.5078
7,2024-01-04,2,344697,CX-6-UN,6.0,UN,201.5078
8,2024-01-30,2,371452,CX-20-UN,80.0,UN,13.065999999999999
9,2024-01-15,2,383718,UN-1-UN,2.0,UN,336.4636
10,2024-01-22,2,386056,CX-18-UN,54.0,UN,13.498399999999998
11,2024-01-23,2,386056,CX-18-UN,180.0,UN,13.498399999999998
12,2024-01-22,2,390158,CX-8-UN,24.0,UN,52.6306
13,2024-01-19,2,390158,CX-8-UN,56.0,UN,52.6306
14,2024-01-23,2,390158,CX-8-UN,24.0,UN,52.6306
15,2024-01-23,2,390170,CX-12-UN,12.0,UN,22.700999999999997
16,2024-01-19,2,406818,CX-6-UN,6.0,UN,93.05999999999999
17,2024-01-23,2,406818,CX-6-UN,6.0,UN,93.05999999999999
18,2024-01-22,2,419430,CX-6-UN,6.0,UN,55.459999999999994
19,2024-01-23,2,419430,CX-6-UN,6.0,UN,55.459999999999994
20,2024-01-18,2,419435,CX-12-UN,60.0,UN,26.996799999999997
21,2024-01-18,2,419436,CX-12-UN,216.0,UN,26.996799999999997
22,2024-01-18,2,419437,CX-12-UN,540.0,UN,26.996799999999997
23,2024-01-18,2,419438,CX-12-UN,156.0,UN,26.996799999999997
24,2024-01-04,2,420253,CX-6-UN,18.0,UN,86.5552
25,2024-01-18,2,427951,CX-12-UN,84.0,UN,27.664199999999997
26,2024-01-12,2,433535,CX-25-UN,75.0,UN,5.5648
27,2024-01-05,2,442138,CX-4-UN,120.0,UN,141.36659999999998
28,2024-01-19,2,445881,CX-36-UN,72.0,UN,7.764399999999999
29,2024-01-23,2,445881,CX-36-UN,72.0,UN,7.764399999999999
30,2024-01-18,2,445886,CX-6-UN,78.0,UN,14.569999999999999
31,2024-01-18,2,445887,CX-6-UN,300.0,UN,20.586
32,2024-01-23,2,445895,CX-4-UN,16.0,UN,88.031
33,2024-01-23,2,445896,CX-4-UN,16.0,UN,88.031
34,2024-01-23,2,445897,CX-12-UN,12.0,UN,17.672
35,2024-01-19,2,445903,CX-10-UN,10.0,UN,4.2299999999999995
36,2024-01-23,2,445903,CX-10-UN,20.0,UN,4.2299999999999995
37,2024-01-04,2,447038,CX-6-UN,12.0,UN,153.90619999999998
38,2024-01-22,2,449823,CX-20-UN,120.0,UN,14.569999999999999
39,2024-01-23,2,449823,CX-20-UN,140.0,UN,14.569999999999999
40,2024-01-19,2,449823,CX-20-UN,40.0,UN,14.569999999999999
41,2024-01-04,2,450221,CX-4-UN,24.0,UN,126.22319999999999
42,2024-01-05,2,450221,CX-4-UN,36.0,UN,126.22319999999999
43,2024-01-23,2,450221,CX-4-UN,40.0,UN,126.22319999999999
44,2024-01-25,2,450221,CX-4-UN,60.0,UN,126.22319999999999
45,2024-01-26,2,454310,CX-30-UN,100.0,UN,13.065999999999999
46,2024-01-30,2,454310,CX-30-UN,120.0,UN,13.065999999999999
47,2024-01-19,2,458287,CX-8-UN,32.0,UN,60.95899999999999
48,2024-01-23,2,458287,CX-8-UN,120.0,UN,60.95899999999999
49,2024-01-22,2,458287,CX-8-UN,16.0,UN,60.95899999999999
50,2024-01-22,2,458289,CX-4-UN,12.0,UN,88.031
51,2024-01-23,2,458289,CX-4-UN,16.0,UN,88.031
52,2024-01-08,2,467615,JG-1-JG,186.0,JG,408.57099999999997
53,2024-01-04,2,467622,CX-6-UN,18.0,UN,85.07
54,2024-01-25,2,467622,CX-6-UN,6.0,UN,85.07
55,2024-01-04,2,467623,,12.0,UN,156.6792
56,2024-01-29,2,467625,CX-12-UN,36.0,UN,18.170199999999998
57,2024-01-29,2,467626,CX-40-UN,40.0,UN,40.767799999999994
58,2024-01-12,2,46898,CX-4-UN,48.0,UN,53.9372
59,2024-01-11,2,46898,CX-4-UN,60.0,UN,53.9372
60,2024-01-05,2,469421,CX-4-UN,120.0,UN,100.3732
61,2024-01-04,2,469421,CX-4-UN,124.0,UN,100.3732
62,2024-01-12,2,470026,CX-4-UN,24.0,UN,100.8714
63,2024-01-11,2,470026,CX-4-UN,48.0,UN,100.8714
64,2024-01-11,2,471499,CX-72-CA,288.0,CA,12.135399999999999
65,2024-01-30,2,471794,CX-80-UN,180.0,UN,12.699399999999999
66,2024-01-18,2,471923,CX-20-UN,320.0,UN,21.619999999999997
67,2024-01-18,2,471925,CX-20-UN,600.0,UN,21.619999999999997
68,2024-01-08,2,473654,JG-1-JG,60.0,JG,396.257
69,2024-01-18,2,474294,CX-10-UN,110.0,UN,54.05
70,2024-01-29,2,475293,CX-10-UN,50.0,UN,67.8304
71,2024-01-03,3,177392,CX-50-UN,50.0,UN,19.223
72,2024-01-08,3,177392,CX-50-UN,50.0,UN,19.223
73,2024-01-09,3,177392,CX-50-UN,50.0,UN,19.223
74,2024-01-31,3,347263,PL-123.84-M2,144.48,M2,12.69
75,2024-01-17,3,347654,PL-148.8-M2,297.6,M2,13.629999999999999
76,2024-01-17,3,348807,PL-123.84-M2,619.2,M2,12.69
77,2024-01-09,3,351757,CX-50-UN,100.0,UN,11.8346
78,2024-01-03,3,351757,CX-50-UN,250.0,UN,11.8346
79,2024-01-08,3,360262,CX-10-UN,60.0,UN,9.569199999999999
80,2024-01-03,3,360262,CX-10-UN,160.0,UN,9.569199999999999
81,2024-01-31,3,368185,PL-123.84-M2,743.04,M2,12.69
82,2024-01-05,3,407852,CX-6-UN,96.0,UN,46.812
83,2024-01-03,3,437734,CX-50-UN,100.0,UN,20.520199999999996
84,2024-01-18,3,443992,CX-6-UN,66.0,UN,96.8576
85,2024-01-18,3,443993,CX-6-UN,6.0,UN,96.8576
86,2024-01-11,3,455283,CX-10-UN,300.0,UN,13.545399999999999
87,2024-01-09,3,455283,CX-10-UN,1280.0,UN,13.545399999999999
88,2024-01-16,3,463808,CX-6-UN,36.0,UN,82.1184
89,2024-01-25,3,465210,PL-82.88-M2,1906.24,M2,18.705999999999996
90,2024-01-31,3,470234,PL-83.7-M2,5189.4,M2,13.16
91,2024-01-17,92,382868,PL-99.96-M2,99.96,M2,23.5
92,2024-01-11,92,390662,PL-99.96-M2,199.92,M2,23.5
93,2024-01-17,92,390662,PL-99.96-M2,99.96,M2,23.5
94,2024-01-05,92,474264,PL-72-M2,432.0,M2,38.446
95,2024-01-05,92,474267,PL-72-M2,648.0,M2,36.565999999999995
96,2024-01-17,92,474267,PL-72-M2,432.0,M2,36.565999999999995
97,2024-01-24,92,474267,PL-72-M2,216.0,M2,36.565999999999995
98,2024-01-18,2,450691,CX-24-UN,48.0,UN,
99,2024-01-29,3,460689,UN-1-UN,20.0,UN,
100,2024-01-22,3,460689,UN-1-UN,30.0,UN,
101,2024-01-26,3,460689,UN-1-UN,50.0,UN,
102,2024-01-19,2,430599,CX-1-JG,700.0,JG,
103,2024-01-17,2,474254,CX-12-UN,120.0,UN,
104,2024-01-17,2,474248,CX-48-UN,624.0,UN,
105,2024-01-23,2,458458,CX-8-UN,120.0,UN,
106,2024-01-18,2,466684,CX-16-UN,128.0,UN,
107,2024-01-19,2,458291,CX-12-UN,24.0,UN,
108,2024-01-22,2,458291,CX-12-UN,36.0,UN,
109,2024-01-18,2,458291,CX-12-UN,36.0,UN,
110,2024-01-23,2,458291,CX-12-UN,24.0,UN,
111,2024-02-02,2,152965,CX-1-UN,12.0,UN,377.88939999999997
112,2024-02-02,2,29896,CX-40-UN,80.0,UN,48.983399999999996
113,2024-02-01,2,309553,UN-1-UN,2.0,UN,98.69999999999999
114,2024-02-14,2,344697,CX-6-UN,6.0,UN,201.5078
115,2024-02-09,2,386056,CX-18-UN,18.0,UN,13.498399999999998
116,2024-02-01,2,388534,UN-1-UN,9.0,UN,182.35999999999999
117,2024-02-01,2,388535,UN-1-UN,15.0,UN,182.35999999999999
118,2024-02-01,2,388536,UN-1-UN,20.0,UN,182.35999999999999
119,2024-02-26,2,398169,CX-24-UN,72.0,UN,7.989999999999999
120,2024-02-02,2,418788,UN-1-UN,10.0,UN,206.79999999999998
121,2024-02-14,2,420253,CX-6-UN,6.0,UN,86.5552
122,2024-02-09,2,427952,CX-12-UN,264.0,UN,23.3496
123,2024-02-26,2,433535,CX-25-UN,25.0,UN,5.5648
124,2024-02-26,2,433536,CX-12-UN,60.0,UN,6.298
125,2024-02-02,2,442138,CX-4-UN,1104.0,UN,141.36659999999998
126,2024-02-09,2,445880,CX-36-UN,216.0,UN,7.764399999999999
127,2024-02-09,2,445881,CX-36-UN,288.0,UN,7.764399999999999
128,2024-02-14,2,447038,CX-6-UN,6.0,UN,153.90619999999998
129,2024-02-02,2,450221,CX-4-UN,48.0,UN,126.22319999999999
130,2024-02-14,2,450221,CX-4-UN,80.0,UN,126.22319999999999
131,2024-02-21,2,458682,CX-8-JG,8.0,JG,72.8594
132,2024-02-14,2,466126,CX-4-UN,256.0,UN,141.36659999999998
133,2024-02-02,2,466126,CX-4-UN,364.0,UN,141.36659999999998
134,2024-02-21,2,467542,CX-8-JG,8.0,JG,72.8594
135,2024-02-20,2,467544,CX-8-JG,8.0,JG,72.8594
136,2024-02-21,2,467544,CX-8-JG,8.0,JG,72.8594
137,2024-02-21,2,467546,CX-8-JG,32.0,JG,72.8594
138,2024-02-14,2,467622,CX-6-UN,18.0,UN,85.07
139,2024-02-02,2,467625,CX-12-UN,108.0,UN,18.170199999999998
140,2024-02-02,2,467626,CX-40-UN,40.0,UN,40.767799999999994
141,2024-02-02,2,467627,CX-40-UN,40.0,UN,40.044
145,2024-02-20,2,471999,CX-6-JG,3.0,JG,81.3476
146,2024-02-21,2,471999,CX-6-JG,15.0,JG,81.3476
147,2024-02-05,2,474293,CX-10-UN,10.0,UN,54.05
148,2024-02-09,2,474293,CX-10-UN,100.0,UN,54.05
151,2024-02-20,2,476263,CX-6-JG,12.0,JG,44.5372
152,2024-02-21,2,476263,CX-6-JG,55.0,JG,44.5372
153,2024-02-20,2,476274,CX-10-JG,4.0,JG,33.88699999999999
154,2024-02-21,2,476274,CX-10-JG,36.0,JG,33.88699999999999
155,2024-02-20,2,476281,CX-8-JG,8.0,JG,30.8414
156,2024-02-21,2,476281,CX-8-JG,57.0,JG,30.8414
157,2024-02-21,2,476282,CX-8-JG,27.0,JG,30.8414
158,2024-02-20,2,476282,CX-8-JG,8.0,JG,30.8414
159,2024-02-21,2,476286,CX-6-JG,69.0,JG,44.5372
160,2024-02-20,2,476286,CX-6-JG,12.0,JG,44.5372
163,2024-02-21,2,476293,CX-6-JG,48.0,JG,53.22279999999999
164,2024-02-20,2,476293,CX-6-JG,9.0,JG,53.22279999999999
169,2024-02-20,2,476297,CX-6-JG,9.0,JG,60.8368
170,2024-02-21,2,476297,CX-6-JG,57.0,JG,60.8368
171,2024-02-08,3,334173,CX-10-UN,80.0,UN,11.1296
172,2024-02-21,3,334173,CX-10-UN,80.0,UN,11.1296
173,2024-02-15,3,348807,PL-123.84-M2,495.36,M2,12.69
174,2024-02-07,3,351757,CX-50-UN,100.0,UN,11.8346
175,2024-02-21,3,351757,CX-50-UN,150.0,UN,11.8346
176,2024-02-08,3,351757,CX-50-UN,250.0,UN,11.8346
177,2024-02-07,3,351758,CX-50-UN,50.0,UN,13.1224
178,2024-02-08,3,351758,CX-50-UN,50.0,UN,13.1224
179,2024-02-21,3,351758,CX-50-UN,100.0,UN,13.1224
180,2024-02-08,3,360262,CX-10-UN,60.0,UN,9.569199999999999
181,2024-02-07,3,360262,CX-10-UN,10.0,UN,9.569199999999999
182,2024-02-21,3,360262,CX-10-UN,130.0,UN,9.569199999999999
183,2024-02-29,3,407852,CX-6-UN,192.0,UN,46.812
184,2024-02-29,3,407871,CX-3-UN,24.0,UN,142.128
185,2024-02-06,3,409654,CX-10-UN,10.0,UN,48.1468
186,2024-02-21,3,409654,CX-10-UN,20.0,UN,48.1468
187,2024-02-06,3,437733,CX-50-UN,150.0,UN,14.560599999999999
188,2024-02-29,3,443992,CX-6-UN,60.0,UN,96.8576
189,2024-02-29,3,443993,CX-6-UN,6.0,UN,96.8576
190,2024-02-29,3,452125,CX-6-UN,60.0,UN,98.32399999999998
191,2024-02-29,3,453456,CX-6-UN,24.0,UN,101.43539999999999
192,2024-02-08,3,455282,CX-20-UN,500.0,UN,9.2308
193,2024-02-21,3,455282,CX-20-UN,600.0,UN,9.2308
194,2024-02-07,3,455282,CX-20-UN,200.0,UN,9.2308
