"COD_EMPRESA";"CODIGO";"ESTOQUE_INICIAL"
"1";"1007";"0"
"2";"1007";"0"
"3";"1007";"50"
"4";"1007";"42"
"5";"1007";"0"
"6";"1007";"0"
"7";"1007";"0"
"8";"1007";"0"
"9";"1007";"0"
"92";"1007";"0"
"93";"1007";"0"
"1";"101702";"0"
"2";"101702";"1"
"3";"101702";"0"
"4";"101702";"0"
"5";"101702";"0"
"6";"101702";"1"
"7";"101702";"1"
"8";"101702";"0"
"9";"101702";"0"
"92";"101702";"12"
"93";"101702";"7"
"1";"102242";"131"
"2";"102242";"285"
"3";"102242";"320"
"4";"102242";"303"
"5";"102242";"144"
"6";"102242";"247"
"7";"102242";"206"
"8";"102242";"232"
"9";"102242";"0"
"92";"102242";"0"
"93";"102242";"0"
"1";"102450";"0"
"2";"102450";"0"
"3";"102450";"6"
"4";"102450";"15"
"5";"102450";"0"
"6";"102450";"0"
"7";"102450";"0"
"8";"102450";"0"
"9";"102450";"0"
"92";"102450";"0"
"93";"102450";"0"
"1";"1029";"0"
"2";"1029";"0"
"3";"1029";"44"
"4";"1029";"51"
"5";"1029";"0"
"6";"1029";"0"
"7";"1029";"0"
"8";"1029";"0"
"9";"1029";"0"
"92";"1029";"0"
"93";"1029";"0"
"1";"104342";"700"
"2";"104342";"700"
"3";"104342";"2100"
"4";"104342";"3000"
"5";"104342";"600"
"6";"104342";"2500"
"7";"104342";"2000"
"8";"104342";"800"
"9";"104342";"0"
"92";"104342";"100"
"93";"104342";"0"
"1";"107756";"0"
"2";"107756";"0"
"3";"107756";"1"
"4";"107756";"1"
"5";"107756";"2"
"6";"107756";"1"
"7";"107756";"0"
"8";"107756";"2"
"9";"107756";"0"
"92";"107756";"1"
"93";"107756";"1"
"1";"113659";"7"
"2";"113659";"10"
"3";"113659";"1"
"4";"113659";"7"
"5";"113659";"0"
"6";"113659";"9"
"7";"113659";"6"
"8";"113659";"0"
"9";"113659";"0"
"92";"113659";"0"
"93";"113659";"60"
"1";"114778";"0"
"2";"114778";"215"
"3";"114778";"452"
"4";"114778";"0"
"5";"114778";"0"
"6";"114778";"440"
"7";"114778";"0"
"8";"114778";"0"
"9";"114778";"0"
"92";"114778";"0"
"93";"114778";"0"
"1";"117120";"77"
"2";"117120";"86"
"3";"117120";"156"
"4";"117120";"76"
"5";"117120";"58"
"6";"117120";"4"
"7";"117120";"0"
"8";"117120";"2"
"9";"117120";"0"
"92";"117120";"0"
"93";"117120";"0"
"1";"117787";"4"
"2";"117787";"3"
"3";"117787";"16"
"4";"117787";"11"
"5";"117787";"4"
"6";"117787";"11"
"7";"117787";"1"
"8";"117787";"3"
"9";"117787";"0"
"92";"117787";"0"
"93";"117787";"0"
"1";"118126";"0"
"2";"118126";"2"
"3";"118126";"4"
"4";"118126";"1"
"5";"118126";"34"
"6";"118126";"4"
"7";"118126";"0"
"8";"118126";"29"
"9";"118126";"0"
"92";"118126";"0"
"93";"118126";"0"
"1";"119190";"1"
"2";"119190";"0"
"3";"119190";"2"
"4";"119190";"1"
"5";"119190";"2"
"6";"119190";"0"
"7";"119190";"0"
"8";"119190";"0"
"9";"119190";"0"
"92";"119190";"0"
"93";"119190";"2"
"1";"119738";"6"
"2";"119738";"23"
"3";"119738";"27"
"4";"119738";"36"
"5";"119738";"38"
"6";"119738";"26"
"7";"119738";"18"
"8";"119738";"35"
"9";"119738";"0"
"92";"119738";"0"
"93";"119738";"0"
"1";"119953";"106"
"2";"119953";"318"
"3";"119953";"186"
"4";"119953";"553"
"5";"119953";"74"
"6";"119953";"94"
"7";"119953";"42"
"8";"119953";"145"
"9";"119953";"0"
"92";"119953";"2652"
"93";"119953";"0"
"1";"119959";"189"
"2";"119959";"1430"
"3";"119959";"274"
"4";"119959";"1036"
"5";"119959";"123"
"6";"119959";"152"
"7";"119959";"203"
"8";"119959";"1597"
"9";"119959";"0"
"92";"119959";"2700"
"93";"119959";"0"
"1";"121901";"16"
"2";"121901";"2"
"3";"121901";"4"
"4";"121901";"3"
"5";"121901";"7"
"6";"121901";"5"
"7";"121901";"0"
"8";"121901";"1"
