CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
435055,LIVRO FISHER PRICE MESVERSARIO  7312,"L - INFANTIL, LAZER E PETS",43.0,321.07950000000005,38,6
259971,LUVA PPR F/F                    32MM,H - TUBOS E CONEXOES,76.0,484.89000000000004,31,2
449499,TOALHA RST F.PENT.CANELADO AZES 1136,"K - CAMA, MESA E BANHO",24.0,690.48,16,1
343684,ABRACAD.PLS P/TUBO 15 A 35MM,E - MATERIAIS ELETRICOS,196.0,813.5295000000001,36,6
430480,PORTA AL.BALC. 210X200 4F      FC BR,"G - PORTAS, JANELAS E FECHADURAS",1.0,943.95,1,1
436655,CAPA ALM.43X43 VELUDO        BG 3136,V - DECORACAO,34.0,1025.43,21,2
438085,FACA MESA (AV) IX/PLS BAMBU     1196,B - UTILIDADES DOMESTICAS,282.0,1033.074,75,8
452812,POTE VID.QUAD.HERM.530ML BAMBU  8072,B - UTILIDADES DOMESTICAS,31.0,1051.9950000000001,24,3
351462,PRATO RASO CER.26CM BURGUER  AM 6783,B - UTILIDADES DOMESTICAS,58.0,1080.8385,25,3
167821,CUBA LOC.EMB.39X30 OVAL   10119 PR77,W - LOUCAS E PIAS,13.0,1104.285,10,2
165658,LUVA REDUCAO ROSCA           1 X 3/4,H - TUBOS E CONEXOES,152.0,1189.545,113,2
440053,"PORCEL.A 60X120 ESM.CONCRETE  2,20M2",C - PISOS E REVESTIMENTOS,19.8,1213.4199000000003,6,4
344309,ADAPTA.SOLD.CAIXA C/ANEL  50MMX1.1/2,H - TUBOS E CONEXOES,46.0,1238.37,31,4
309553,PORTA MAD.FRISADA.090X210 IPE    F01,"G - PORTAS, JANELAS E FECHADURAS",6.0,1285.095,5,3
445484,CADEIRA FIBRA NADIA               CM,O - MOVEIS,8.0,1322.16,7,4
472394,XICARA CAFE PORC.75ML C/P 6PC  03328,B - UTILIDADES DOMESTICAS,25.0,1349.775,19,2
459368,INT.ALAVANCA ON/OFF HAST. LONGA 250W,E - MATERIAIS ELETRICOS,104.0,1375.92,76,8
417598,BISNAGA PLS 210ML  ALCOOL GEL SR2326,B - UTILIDADES DOMESTICAS,260.0,1379.4060000000002,176,8
154333,TACHA AZULADA         13MM 50UN 1702,Q - BASICOS CONSTRUCAO,195.0,1433.2500000000002,149,8
460488,COND.SPLIT 12000 EVAP 42TFQA Q/F 133,D - ELETROS,2.0,1448.79,2,1
