COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
1,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Garanhuns,PE
2,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Recife,PE
3,1007,50.0,440.0,0.6027397260273972,82.95454545454545,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Salvador,BA
4,1007,42.0,163.0,0.2232876712328767,188.09815950920245,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Recife,PE
5,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Aracaju,SE
6,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Joao Pessoa,PB
7,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Natal,RN
8,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Caruaru,PE
9,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Salvador,BA
92,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Cabo De Santo Agostinho,PE
93,1007,0.0,0.0,0.0,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,Alhandra,PB
1,101702,0.0,12.0,0.01643835616438356,0.0,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Garanhuns,PE
2,101702,1.0,14.0,0.019178082191780823,52.14285714285714,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Recife,PE
3,101702,0.0,2.0,0.0027397260273972603,0.0,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Salvador,BA
4,101702,0.0,4.0,0.005479452054794521,0.0,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Recife,PE
5,101702,0.0,2.0,0.0027397260273972603,0.0,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Aracaju,SE
6,101702,1.0,4.0,0.005479452054794521,182.5,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Joao Pessoa,PB
7,101702,1.0,6.0,0.00821917808219178,121.66666666666669,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Natal,RN
8,101702,0.0,4.0,0.005479452054794521,0.0,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Caruaru,PE
9,101702,0.0,1.0,0.0013698630136986301,0.0,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Salvador,BA
92,101702,12.0,99.0,0.13561643835616438,88.48484848484848,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Cabo De Santo Agostinho,PE
93,101702,7.0,631.0,0.8643835616438356,8.09825673534073,REFRIG. 1P 261L DSECO BR  CRA30 M220,D - ELETROS,Alhandra,PB
1,102242,131.0,247.0,0.33835616438356164,387.16599190283404,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Garanhuns,PE
2,102242,285.0,465.0,0.636986301369863,447.4193548387097,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Recife,PE
3,102242,320.0,316.0,0.4328767123287671,739.2405063291139,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Salvador,BA
4,102242,303.0,403.0,0.552054794520548,548.8585607940447,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Recife,PE
5,102242,144.0,134.0,0.18356164383561643,784.4776119402985,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Aracaju,SE
6,102242,247.0,245.0,0.3356164383561644,735.9591836734694,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Joao Pessoa,PB
7,102242,206.0,109.0,0.14931506849315068,1379.633027522936,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Natal,RN
8,102242,232.0,236.0,0.3232876712328767,717.6271186440678,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Caruaru,PE
9,102242,0.0,109.0,0.14931506849315068,0.0,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Salvador,BA
92,102242,0.0,0.0,0.0,,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Cabo De Santo Agostinho,PE
93,102242,0.0,0.0,0.0,,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,Alhandra,PB
1,102450,0.0,0.0,0.0,,VALV.RET.ROSCA         3/4  27957200,U - METAIS E ACESSORIOS,Garanhuns,PE
2,102450,0.0,25.0,0.03424657534246575,0.0,VALV.RET.ROSCA         3/4  27957200,U - METAIS E ACESSORIOS,Recife,PE
3,102450,6.0,299.0,0.4095890410958904,14.648829431438127,VALV.RET.ROSCA         3/4  27957200,U - METAIS E ACESSORIOS,Salvador,BA
