CODIGO,correlacao_preco_volume,n_obs,DESCRICAO,NIVEL_1,receita_total
421218,-0.8404905297523774,9.0,ARMARIO AEREO 1.20 2P      OFW001481,O - MOVEIS,8428.77
260322,-0.7465106673250934,48.0,"TINT.ESM.DIAL.B.AGUA BR 3,6L   PRETO",S - TINTAS E QUIMICOS,71684.71800000001
454362,-0.7364261164205022,17.0,LUSTRE LED/MET.        3EM1 25W MBIV,I - ILUMINACAO,20115.690000000002
260321,-0.7348802509236826,51.0,"TINT.ESM.DIAL.B.AGUA BR 3,6L PLATINA",S - TINTAS E QUIMICOS,73078.53
463738,-0.7098339596209635,14.0,CAPACETE  P/MOT. RAZOR SHA. PT/VM 56,A - AUTOMOTIVO,7381.71
488930,-0.6974985161050322,27.0,FERRO PASSAR SEC.  HD1172/82 CZ M127,D - ELETROS,51312.261
260323,-0.6962837971946155,63.0,"TINT.ESM.DIAL.B.AGUA BR 3,6L  TABACO",S - TINTAS E QUIMICOS,102999.792
472203,-0.6870364934253337,46.0,CANECA CER.280ML           VD 075985,B - UTILIDADES DOMESTICAS,20928.97275
476249,-0.6856110361642545,23.0,VASO DEC VID 15X22 BOJUDO   75885002,V - DECORACAO,6446.580000000001
166393,-0.6548175277541837,70.0,MARTELETE ROT/ROMP. 800W  HR2470 110,F - FERRAMENTAS,1679201.4715
171341,-0.6512106575192229,29.0,RESIST.DUCH.GOR.4T  5450W       M127,U - METAIS E ACESSORIOS,35483.72625
167821,-0.6464497234321426,10.0,CUBA LOC.EMB.39X30 OVAL   10119 PR77,W - LOUCAS E PIAS,1104.285
432628,-0.6441808887228663,18.0,"FRITAD.ELET 4,2L ULTRA TOUCH MF M220",D - ELETROS,246973.064656695
453474,-0.6438868677908003,95.0,FILTRO LINHA  5TOM    DPS TP10A MBIV,E - MATERIAIS ELETRICOS,104236.5975
260273,-0.64155740119592,124.0,"TINT.ESM.DIAL.B.AGUA BR 0,9L   PRETO",S - TINTAS E QUIMICOS,87464.6535
456655,-0.6386525502975644,12.0,COND.SPLIT  9000 COND.S4UQ09 INV.118,D - ELETROS,21381.612
452812,-0.636071744704,14.0,POTE VID.QUAD.HERM.530ML BAMBU  8072,B - UTILIDADES DOMESTICAS,1051.9950000000001
475081,-0.6334110190538137,32.0,FRIGIDEIRA ANTIAD.22CM   AM 7232/355,B - UTILIDADES DOMESTICAS,18618.864833333333
488763,-0.6302237022110977,42.0,ORGANIZADOR COLMEIA 35X10 BG OR67110,B - UTILIDADES DOMESTICAS,6111.441000000001
475500,-0.6295361078761301,69.0,COPO AGUA VID.645ML          1099759,B - UTILIDADES DOMESTICAS,16401.525
471268,-0.6290224674260122,27.0,XICARA CAFE PORC.100ML C/P     16174,B - UTILIDADES DOMESTICAS,3177.9405
488473,-0.6269419738984483,25.0,RACK TV 1.40X0.58 PALADIO         BR,O - MOVEIS,76092.135
437853,-0.6268062497904697,22.0,"REVEST.A 30X60 CATAV.PITAN.MT 2,28M2",C - PISOS E REVESTIMENTOS,11253.88278
474294,-0.624186337006229,89.0,TRILHO LED KIT 3 SPOT NE  5W PT MBIV,I - ILUMINACAO,163972.0845
466622,-0.6223609884394583,28.0,RODAPE TEC 15CM    FRIS/BR 2.40ML/UN,C - PISOS E REVESTIMENTOS,30947.626500000002
472178,-0.6199967073749624,25.0,XICARA CHA CER.200ML C/P      090959,B - UTILIDADES DOMESTICAS,22998.1185
