CODIGO,correlacao_preco_volume,n_obs,DESCRICAO,NIVEL_1,receita_total
462811,0.6678175301377653,142.0,DISJ.BIPO.C DIN  16A       GII-C016A,E - MATERIAIS ELETRICOS,101580.3425
462807,0.5903022566950779,134.0,DISJ.BIPO.C DIN  20A       GII-C020A,E - MATERIAIS ELETRICOS,147861.805
462809,0.5796126810064999,173.0,DISJ.BIPO.C DIN 32A        GII-C032A,E - MATERIAIS ELETRICOS,158976.405
462849,0.5766169985957623,154.0,DISJ.BIPO.C DIN  50A       GII-C050A,E - MATERIAIS ELETRICOS,55265.56
462808,0.563950041288801,143.0,DISJ.BIPO.C DIN  25A       GII-C025A,E - MATERIAIS ELETRICOS,103152.9275
430375,0.55791627970086,8.0,REFRIG. 2P 410L FF    CRM50 BR M220,D - ELETROS,44416.68
462812,0.5302287274077622,125.0,DISJ.BIPO.C DIN  63A       GII-C063A,E - MATERIAIS ELETRICOS,69625.29
462810,0.5244271059858483,196.0,DISJ.BIPO.C DIN 40A        GII-C040A,E - MATERIAIS ELETRICOS,125816.985
462831,0.5091805794793852,202.0,DISJ.UNIP.C DIN  40A       GII-C040A,E - MATERIAIS ELETRICOS,217573.00992424242
463535,0.42179024200754617,12.0,"PORCEL.A 19,5X91,2 ESM.BAL.CAM1,07M2",C - PISOS E REVESTIMENTOS,85412.930295
445389,0.4198390564139768,35.0,"PORCEL.A 90X90 POL.MATER.PETRO1,62M2",C - PISOS E REVESTIMENTOS,197452.96452
58778,0.4169023891354953,25.0,CUBA LOC.SOB.QUAD.L700     GELO GE17,W - LOUCAS E PIAS,45378.984000000004
465819,0.4168777941512582,22.0,TV LED 65 HDR SMT 8K NEO QLED QN65QN,R - ELETRONICOS,278052.2535
