CODIGO,DESCRICAO,NIVEL_1,correlacao_preco_volume,n_obs,min_obs_exigido,precos_mensais_distintos,volumes_mensais_distintos,receita_total,quantidade_total_observada,status_correlacao,tipo_analise,interpretacao,limitacao,tipo_triagem,nivel_confianca,regra_usada,evidencia,acao_recomendada
260322,"TINT.ESM.DIAL.B.AGUA BR 3,6L   PRETO",S - TINTAS E QUIMICOS,-0.7465106673250934,48,8,29,21,71684.71800000001,512.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.7465; n_obs=48; receita_total=71684.72,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
260321,"TINT.ESM.DIAL.B.AGUA BR 3,6L PLATINA",S - TINTAS E QUIMICOS,-0.7348802509236826,51,8,22,22,73078.53000000001,512.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.7349; n_obs=51; receita_total=73078.53,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
488930,FERRO PASSAR SEC.  HD1172/82 CZ M127,D - ELETROS,-0.6974985161050322,27,8,17,17,51312.261,712.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6975; n_obs=27; receita_total=51312.26,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
260323,"TINT.ESM.DIAL.B.AGUA BR 3,6L  TABACO",S - TINTAS E QUIMICOS,-0.6962837971946155,63,8,33,25,102999.79199999999,788.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6963; n_obs=63; receita_total=102999.79,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
166393,MARTELETE ROT/ROMP. 800W  HR2470 110,F - FERRAMENTAS,-0.6548175277541837,70,8,57,41,1679201.4715,1946.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6548; n_obs=70; receita_total=1679201.47,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
432628,"FRITAD.ELET 4,2L ULTRA TOUCH MF M220",D - ELETROS,-0.6441808887228663,18,8,17,10,246973.06465669497,750.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6442; n_obs=18; receita_total=246973.06,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
453474,FILTRO LINHA  5TOM    DPS TP10A MBIV,E - MATERIAIS ELETRICOS,-0.6438868677908003,95,8,63,33,104236.59750000002,1223.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6439; n_obs=95; receita_total=104236.60,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
260273,"TINT.ESM.DIAL.B.AGUA BR 0,9L   PRETO",S - TINTAS E QUIMICOS,-0.64155740119592,124,8,56,42,87464.65349999999,2409.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6416; n_obs=124; receita_total=87464.65,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
488473,RACK TV 1.40X0.58 PALADIO         BR,O - MOVEIS,-0.6269419738984483,25,8,14,13,76092.135,213.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6269; n_obs=25; receita_total=76092.13,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
474294,TRILHO LED KIT 3 SPOT NE  5W PT MBIV,I - ILUMINACAO,-0.624186337006229,89,8,49,37,163972.0845,1452.0,correlacao_calculada,associacao exploratoria,correlacao observacional; nao estabelece efeito causal,"NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume",investigacao_preco_correlacao,Baixa,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6242; n_obs=89; receita_total=163972.08,"Investigar cadastro, margem, concorrencia e campanhas antes de teste comercial controlado"
