COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
92,429455,36380.0,0.0,0.0,inf,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,Cabo De Santo Agostinho,PE
6,450311,13034.16,11349.42,15.547150684931507,838.3632643782678,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,Joao Pessoa,PB
3,411797,11264.0,9355.0,12.815068493150685,878.9652592196686,GARFO MESA (AV) SAVANNAH      SH1122,B - UTILIDADES DOMESTICAS,Salvador,BA
3,464493,9245.0,5830.0,7.986301369863014,1157.607204116638,TRAVESS.050X070 BEM VIVER SUP. FIRME,"K - CAMA, MESA E BANHO",Salvador,BA
92,275675,9036.0,0.0,0.0,inf,TIGELA CER.CEREAL 600ML AM E01B-0654,B - UTILIDADES DOMESTICAS,Cabo De Santo Agostinho,PE
92,396527,8750.0,0.0,0.0,inf,TOM.MOD.1M 2P+T 10A      BR 57115030,E - MATERIAIS ELETRICOS,Cabo De Santo Agostinho,PE
2,411797,8256.0,5613.0,7.689041095890411,1073.7359700694815,GARFO MESA (AV) SAVANNAH      SH1122,B - UTILIDADES DOMESTICAS,Recife,PE
3,411799,8237.0,7353.0,10.072602739726028,817.7628178974568,FACA MESA (AV) SAVANNAH       SH1124,B - UTILIDADES DOMESTICAS,Salvador,BA
3,455048,8123.0,691.0,0.9465753424657535,8581.461649782923,LAMP.LED  BULBO KIT03 7W BR E27 MBIV,I - ILUMINACAO,Salvador,BA
2,411799,8011.0,4242.0,5.810958904109589,1378.6020744931636,FACA MESA (AV) SAVANNAH       SH1124,B - UTILIDADES DOMESTICAS,Recife,PE
1,450311,7948.98,7923.18,10.853671232876712,732.3770758710517,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,Garanhuns,PE
4,411799,7662.0,2786.0,3.8164383561643835,2007.6310122038765,FACA MESA (AV) SAVANNAH       SH1124,B - UTILIDADES DOMESTICAS,Recife,PE
92,275674,7512.0,0.0,0.0,inf,TIGELA CER.CEREAL 600ML AZ E01B-0824,B - UTILIDADES DOMESTICAS,Cabo De Santo Agostinho,PE
5,411797,6695.0,3714.0,5.087671232876712,1315.9262250942381,GARFO MESA (AV) SAVANNAH      SH1122,B - UTILIDADES DOMESTICAS,Aracaju,SE
8,450311,6460.32,6757.02,9.256191780821919,697.9457808323787,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,Caruaru,PE
4,472114,6176.0,2860.0,3.9178082191780823,1576.3916083916083,PRATO SMES.CER.18CM           092981,B - UTILIDADES DOMESTICAS,Recife,PE
3,450311,6158.46,9489.24,12.998958904109589,473.76563349646545,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,Salvador,BA
2,472114,6135.0,2017.0,2.763013698630137,2220.4015865146257,PRATO SMES.CER.18CM           092981,B - UTILIDADES DOMESTICAS,Recife,PE
92,450311,6119.76,116.1,0.15904109589041096,38479.11111111111,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,Cabo De Santo Agostinho,PE
2,455048,5891.0,1074.0,1.4712328767123288,4004.1247672253257,LAMP.LED  BULBO KIT03 7W BR E27 MBIV,I - ILUMINACAO,Recife,PE
92,393595,5840.0,0.0,0.0,inf,TOM.CJ.2T 2P+T 20A       BR 57241066,E - MATERIAIS ELETRICOS,Cabo De Santo Agostinho,PE
92,447307,5594.0,50.0,0.0684931506849315,81672.40000000001,VENT.MES.40CM 3V 2X1    VF42 PT M220,D - ELETROS,Cabo De Santo Agostinho,PE
2,464493,5432.0,4782.0,6.550684931506849,829.2262651610206,TRAVESS.050X070 BEM VIVER SUP. FIRME,"K - CAMA, MESA E BANHO",Recife,PE
