COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
9,468001,0.0,121.0,0.16575342465753426,0.0,BANQUETA PLS ICARAI               TC,O - MOVEIS,Salvador,BA
2,467991,0.0,279.0,0.3821917808219178,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Recife,PE
3,467991,0.0,97.0,0.13287671232876713,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Salvador,BA
4,467991,0.0,194.0,0.26575342465753427,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Recife,PE
5,467991,0.0,127.0,0.17397260273972603,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Aracaju,SE
6,467991,0.0,230.0,0.3150684931506849,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Joao Pessoa,PB
7,467991,0.0,216.0,0.2958904109589041,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Natal,RN
8,467991,0.0,175.0,0.23972602739726026,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Caruaru,PE
9,467991,0.0,128.0,0.17534246575342466,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Salvador,BA
9,467999,0.0,120.0,0.1643835616438356,0.0,BANQUETA PLS ICARAI               VD,O - MOVEIS,Salvador,BA
9,468000,0.0,118.0,0.16164383561643836,0.0,BANQUETA PLS ICARAI               AZ,O - MOVEIS,Salvador,BA
1,467991,0.0,54.0,0.07397260273972603,0.0,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,Garanhuns,PE
9,468647,0.0,420.05,0.5754109589041096,0.0,"CER.A 67X67 CRAVO HD RT    P4 2,71M2",C - PISOS E REVESTIMENTOS,Salvador,BA
9,468649,0.0,78.59,0.10765753424657534,0.0,"CER.A 67X67 PETUNIA HD RT  P4 2,71M2",C - PISOS E REVESTIMENTOS,Salvador,BA
9,468712,0.0,602.0,0.8246575342465754,0.0,PISO S/ANTID. BASIC 50X70   OFFW 403,"K - CAMA, MESA E BANHO",Salvador,BA
9,468714,0.0,174.0,0.23835616438356164,0.0,PISO S/ANTID. BASIC 50X70 PEDRA 7717,"K - CAMA, MESA E BANHO",Salvador,BA
9,468716,0.0,320.0,0.4383561643835616,0.0,PISO S/ANTID. BASIC 50X70 PETRO 2025,"K - CAMA, MESA E BANHO",Salvador,BA
9,468717,0.0,219.0,0.3,0.0,PISO S/ANTID. BASIC 50X70  ROSA 3669,"K - CAMA, MESA E BANHO",Salvador,BA
9,468718,0.0,215.0,0.2945205479452055,0.0,PISO S/ANTID. BASIC 50X70    VD 1252,"K - CAMA, MESA E BANHO",Salvador,BA
2,468736,0.0,58.0,0.07945205479452055,0.0,MANTEIGUEIRA VID.17CM     MTGN016/TR,B - UTILIDADES DOMESTICAS,Recife,PE
3,468736,0.0,59.0,0.08082191780821918,0.0,MANTEIGUEIRA VID.17CM     MTGN016/TR,B - UTILIDADES DOMESTICAS,Salvador,BA
4,468736,0.0,57.0,0.07808219178082192,0.0,MANTEIGUEIRA VID.17CM     MTGN016/TR,B - UTILIDADES DOMESTICAS,Recife,PE
3,467902,0.0,53.0,0.07260273972602739,0.0,COLCHA KING+P.TRAV 3PC MILAO  SORT.7,"K - CAMA, MESA E BANHO",Salvador,BA
4,467899,0.0,66.0,0.09041095890410959,0.0,COLCHA SOLTE+P.TRAV 2PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Recife,PE
5,467899,0.0,47.0,0.06438356164383562,0.0,COLCHA SOLTE+P.TRAV 2PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Aracaju,SE
7,467899,0.0,87.0,0.11917808219178082,0.0,COLCHA SOLTE+P.TRAV 2PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Natal,RN
8,467899,0.0,49.0,0.06712328767123288,0.0,COLCHA SOLTE+P.TRAV 2PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Caruaru,PE
9,467899,0.0,118.0,0.16164383561643836,0.0,COLCHA SOLTE+P.TRAV 2PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Salvador,BA
1,467900,0.0,140.0,0.1917808219178082,0.0,COLCHA CASAL+P.TRAV 3PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Garanhuns,PE
4,467900,0.0,279.0,0.3821917808219178,0.0,COLCHA CASAL+P.TRAV 3PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Recife,PE
7,467900,0.0,304.0,0.41643835616438357,0.0,COLCHA CASAL+P.TRAV 3PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Natal,RN
9,467900,0.0,132.0,0.18082191780821918,0.0,COLCHA CASAL+P.TRAV 3PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Salvador,BA
2,467902,0.0,64.0,0.08767123287671233,0.0,COLCHA KING+P.TRAV 3PC MILAO  SORT.7,"K - CAMA, MESA E BANHO",Recife,PE
6,468736,0.0,59.0,0.08082191780821918,0.0,MANTEIGUEIRA VID.17CM     MTGN016/TR,B - UTILIDADES DOMESTICAS,Joao Pessoa,PB
4,467902,0.0,66.0,0.09041095890410959,0.0,COLCHA KING+P.TRAV 3PC MILAO  SORT.7,"K - CAMA, MESA E BANHO",Recife,PE
6,467902,0.0,53.0,0.07260273972602739,0.0,COLCHA KING+P.TRAV 3PC MILAO  SORT.7,"K - CAMA, MESA E BANHO",Joao Pessoa,PB
7,467902,0.0,51.0,0.06986301369863014,0.0,COLCHA KING+P.TRAV 3PC MILAO  SORT.7,"K - CAMA, MESA E BANHO",Natal,RN
5,467910,0.0,439.0,0.6013698630136987,0.0,CANECA CAFE VID.90ML      06PC 39509,B - UTILIDADES DOMESTICAS,Aracaju,SE
9,467910,0.0,105.0,0.14383561643835616,0.0,CANECA CAFE VID.90ML      06PC 39509,B - UTILIDADES DOMESTICAS,Salvador,BA
93,467962,0.0,728.0,0.9972602739726028,0.0,COND.SPLIT 9000 EVAP.42AGVC  INV.157,D - ELETROS,Alhandra,PB
93,467963,0.0,728.0,0.9972602739726028,0.0,COND.SPLIT 9000 COND. 38AGVC INV.157,D - ELETROS,Alhandra,PB
93,467966,0.0,103.0,0.1410958904109589,0.0,COND.SPLIT 18000 EVAP.42AGVC INV.159,D - ELETROS,Alhandra,PB
93,467967,0.0,103.0,0.1410958904109589,0.0,COND.SPLIT 18000 COND.38AGVC INV.159,D - ELETROS,Alhandra,PB
9,467984,0.0,172.0,0.2356164383561644,0.0,PANO LIMPEZA MULTIUSO 5UN     BT2077,B - UTILIDADES DOMESTICAS,Salvador,BA
