COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,TEVE_VENDA
92,429455,36380.0,False
92,275675,9036.0,False
92,396527,8750.0,False
92,275674,7512.0,False
92,393595,5840.0,False
92,429456,5000.0,False
92,392084,4320.0,False
92,337916,3240.0,False
92,359007,3040.0,False
92,441750,2735.0,False
92,119959,2700.0,False
92,119953,2652.0,False
6,104342,2500.0,False
92,455282,2420.0,False
92,456722,2410.0,False
92,455283,2400.0,False
92,457489,2100.0,False
92,442432,1970.0,False
92,417810,1824.0,False
92,415015,1668.0,False
92,393065,1584.0,False
92,165136,1440.0,False
92,472420,1428.0,False
92,360263,1410.0,False
92,442431,1280.0,False
92,429468,1115.0,False
92,404458,1101.6,False
6,448681,1039.36,False
92,291605,1000.0,False
92,471190,975.6,False
92,22271,800.0,False
92,353719,720.0,False
1,104342,700.0,False
92,423336,656.0,False
92,446526,649.76,False
92,22127,640.0,False
92,337906,633.0,False
92,429458,620.0,False
92,472387,612.0,False
5,104342,600.0,False
92,351757,600.0,False
92,189137,600.0,False
92,466401,600.0,False
92,452121,579.0,False
92,429459,570.0,False
92,449533,540.0,False
92,351758,520.0,False
92,428770,480.0,False
92,471794,480.0,False
92,462837,480.0,False
92,375430,474.0,False
92,458349,470.0,False
92,421744,468.0,False
92,391922,445.0,False
92,471287,444.0,False
8,451923,428.0,False
92,471272,420.0,False
92,427734,380.0,False
92,461748,380.0,False
92,360262,360.0,False
92,461004,349.92,False
7,459686,345.6,False
5,459686,345.6,False
92,462832,336.0,False
92,471195,334.8,False
2,416510,330.0,False
92,462831,312.0,False
92,382896,302.4,False
92,466402,300.0,False
92,454887,300.0,False
92,270605,300.0,False
8,446642,293.4,False
92,462838,264.0,False
92,429483,260.0,False
92,446869,260.0,False
92,466125,246.0,False
92,468649,243.9,False
92,180208,240.0,False
92,462810,234.0,False
92,307183,226.0,False
3,433280,223.0,False
92,429482,220.0,False
92,439331,220.0,False
3,460477,220.0,False
92,429469,216.0,False
92,429473,215.0,False
92,473531,210.0,False
92,454907,200.0,False
92,430036,196.6,False
92,446074,187.0,False
92,431211,180.0,False
92,471918,180.0,False
92,471268,180.0,False
92,432465,180.0,False
92,459553,168.0,False
92,459552,168.0,False
92,463804,165.0,False
92,471796,165.0,False
7,446287,160.0,False
92,454888,160.0,False
92,470398,144.0,False
92,445880,144.0,False
92,459677,144.0,False
6,430085,143.44,False
92,429480,140.0,False
92,215356,140.0,False
5,466422,138.6,False
1,466428,138.24,False
3,446044,132.48,False
92,374656,132.0,False
6,466425,129.6,False
92,441069,129.6,False
92,462809,120.0,False
92,462808,120.0,False
92,462852,118.0,False
92,418899,115.37,False
92,374666,114.0,False
5,343018,108.0,False
92,464786,105.69,False
92,461418,105.12,False
7,439424,103.5,False
92,374682,102.0,False
92,104342,100.0,False
92,428516,100.0,False
92,457936,96.0,False
92,467111,96.0,False
92,389334,95.88,False
3,416567,93.0,False
7,428840,92.04,False
92,419718,92.0,False
92,393359,91.0,False
92,452584,90.0,False
92,472390,90.0,False
92,445817,88.0,False
92,410989,86.39,False
92,462812,84.0,False
92,429637,84.0,False
92,42762,84.0,False
92,361381,83.6,False
92,331172,82.62,False
8,362593,80.64,False
92,462844,80.0,False
92,387056,80.0,False
92,429472,80.0,False
92,214841,80.0,False
92,462842,80.0,False
92,457823,78.0,False
92,447270,77.0,False
92,419192,76.45,False
1,446660,72.0,False
92,462856,72.0,False
92,445892,72.0,False
92,427952,72.0,False
92,462834,72.0,False
5,446296,70.4,False
92,458065,70.0,False
8,459687,69.6,False
92,462807,66.0,False
92,418901,65.33,False
92,429484,65.0,False
92,466425,64.8,False
92,437876,64.4,False
92,452120,62.0,False
92,307176,60.0,False
93,113659,60.0,False
92,544,60.0,False
92,471276,58.0,False
92,470051,55.0,False
92,437667,55.0,False
92,458288,52.0,False
92,442541,51.84,False
92,466386,51.36,False
92,472401,51.0,False
92,326263,50.0,False
92,472421,50.0,False
92,471411,50.0,False
92,437666,50.0,False
92,429485,50.0,False
92,471329,48.0,False
92,280210,48.0,False
92,456595,48.0,False
92,462654,48.0,False
92,419435,48.0,False
92,378445,48.0,False
92,440056,44.0,False
92,334452,42.0,False
92,371143,41.0,False
92,403425,40.0,False
92,461653,40.0,False
92,470560,39.0,False
93,467256,38.0,False
