CODIGO,DESCRICAO,NIVEL_1,demanda_projetada_2026,vendido_24_meses,venda_media_anual_historica,crescimento_pct_vs_media_historica,venda_media_diaria_2026,estoque_seguranca_30d,estoque_inicial_total_referencia,sugestao_compra_2026
429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,161450.41627919284,281011.0,140505.5,14.9,442.32990761422695,13269.89722842681,54224.0,174720.0
326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,E - MATERIAIS ELETRICOS,116556.574677505,148792.0,74396.0,56.7,319.3330813082329,9579.992439246987,7400.0,126137.0
429459,INT.SPL CJ.1S 10A         LGZ010 POP,E - MATERIAIS ELETRICOS,65055.36742809696,109759.0,54879.5,18.5,178.2338833646492,5347.016500939476,7045.0,70402.0
432048,MASSA CORRIDA PVA CORAL PLS     25KG,S - TINTAS E QUIMICOS,63820.159867296294,145797.0,72898.5,-12.5,174.84975306108575,5245.4925918325725,25045.0,69066.0
454313,REFLETOR LED AL.100W         IP65 BR,I - ILUMINACAO,27544.0663401858,32731.0,16365.5,68.3,75.46319545256384,2263.895863576915,0.0,29808.0
455282,LAMP.LED  BULBO  T70 30W BR E27 MBIV,I - ILUMINACAO,21607.682622060114,37271.0,18635.5,15.9,59.199130471397574,1775.9739141419273,4358.0,23384.0
455283,LAMP.LED  BULBO  T80 40W BR E27 MBIV,I - ILUMINACAO,20837.10486248366,40409.0,20204.5,3.1,57.08795852735249,1712.6387558205747,4081.0,22550.0
429456,TOM.CJ.2T 2P+T 10A        LGX303 POP,E - MATERIAIS ELETRICOS,18371.289262935552,29507.0,14753.5,24.5,50.332299350508364,1509.968980515251,6233.0,19881.0
474263,"PORCEL.A 60X60 EPO.MARMO RT   1,80M2",C - PISOS E REVESTIMENTOS,17712.91923763974,21456.0,10728.0,65.1,48.52854585654723,1455.856375696417,0.0,19169.0
447868,PRATO RASO PORC.28CM    PEIXES 80000,B - UTILIDADES DOMESTICAS,15702.706735537717,9450.0,4725.0,232.3,43.02111434393895,1290.6334303181684,103.0,16993.0
462838,DISJ.UNIP.C DIN  25A       GII-C025A,E - MATERIAIS ELETRICOS,15489.368302725607,26502.0,13251.0,16.9,42.43662548691947,1273.0987646075841,2487.0,16762.0
457489,LAMP.LED  BULBO  T60 20W BR E27 MBIV,I - ILUMINACAO,15384.280404031524,36771.0,18385.5,-16.3,42.1487134357028,1264.461403071084,7638.0,16649.0
489647,PANELA PRESSAO ANTIAD.4.5L   5306897,B - UTILIDADES DOMESTICAS,14183.732767564443,7030.0,3515.0,303.5,38.85954182894368,1165.7862548683104,0.0,15350.0
