CODIGO,DESCRICAO,NIVEL_1,motivo,receita,qtd_vendida
208976,DUCHA HIGI.SKIN VP 41           1850,U - METAIS E ACESSORIOS,Zero vendas em 24 meses,,
232822,TORNEIRA PIA PARE.CR        C77 1182,U - METAIS E ACESSORIOS,Zero vendas em 24 meses,,
435055,LIVRO FISHER PRICE MESVERSARIO  7312,"L - INFANTIL, LAZER E PETS",Receita irrisoria + estoque parado,321.07950000000005,43.0
259971,LUVA PPR F/F                    32MM,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,484.89,76.0
343684,ABRACAD.PLS P/TUBO 15 A 35MM,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,813.5295000000001,196.0
430480,PORTA AL.BALC. 210X200 4F      FC BR,"G - PORTAS, JANELAS E FECHADURAS",Receita irrisoria + estoque parado,943.95,1.0
436655,CAPA ALM.43X43 VELUDO        BG 3136,V - DECORACAO,Receita irrisoria + estoque parado,1025.43,34.0
438085,FACA MESA (AV) IX/PLS BAMBU     1196,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1033.074,282.0
452812,POTE VID.QUAD.HERM.530ML BAMBU  8072,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1051.995,31.0
351462,PRATO RASO CER.26CM BURGUER  AM 6783,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1080.8385,58.0
167821,CUBA LOC.EMB.39X30 OVAL   10119 PR77,W - LOUCAS E PIAS,Receita irrisoria + estoque parado,1104.285,13.0
165658,LUVA REDUCAO ROSCA           1 X 3/4,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,1189.545,152.0
440053,"PORCEL.A 60X120 ESM.CONCRETE  2,20M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,1213.4199000000003,19.8
344309,ADAPTA.SOLD.CAIXA C/ANEL  50MMX1.1/2,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,1238.37,46.0
309553,PORTA MAD.FRISADA.090X210 IPE    F01,"G - PORTAS, JANELAS E FECHADURAS",Receita irrisoria + estoque parado,1285.095,6.0
445484,CADEIRA FIBRA NADIA               CM,O - MOVEIS,Receita irrisoria + estoque parado,1322.16,8.0
472394,XICARA CAFE PORC.75ML C/P 6PC  03328,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1349.775,25.0
459368,INT.ALAVANCA ON/OFF HAST. LONGA 250W,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,1375.92,104.0
417598,BISNAGA PLS 210ML  ALCOOL GEL SR2326,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1379.4060000000002,260.0
154333,TACHA AZULADA         13MM 50UN 1702,Q - BASICOS CONSTRUCAO,Receita irrisoria + estoque parado,1433.2500000000002,195.0
460488,COND.SPLIT 12000 EVAP 42TFQA Q/F 133,D - ELETROS,Receita irrisoria + estoque parado,1448.79,2.0
374035,"CER.A 58X58 PSI65910       P3 2,68M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,1468.908,53.6
432459,CANECA CER.280ML           BR 075983,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1505.5635,111.0
407150,PORTA-BOLO IX 32CM C/TP     1525/499,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1515.9585000000002,24.0
471329,XICARA CAFE PORC.75ML C/P      01298,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1546.61325,163.0
469255,ESPATULA CONFEITEIRO 37CM       7754,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1570.0125,126.0
464864,MEDIDOR COLHER IX              24478,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,1582.14,92.0
