CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,281011.0,1299370.493865492,4411,9
326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,E - MATERIAIS ELETRICOS,148792.0,261051.40149498908,5418,9
432048,MASSA CORRIDA PVA CORAL PLS     25KG,S - TINTAS E QUIMICOS,145797.0,9903877.893793339,5596,9
429459,INT.SPL CJ.1S 10A         LGZ010 POP,E - MATERIAIS ELETRICOS,109759.0,502701.8486448341,4464,9
450311,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,57544.32,1544917.1167786364,986,10
411797,GARFO MESA (AV) SAVANNAH      SH1122,B - UTILIDADES DOMESTICAS,45713.0,205864.70012500003,2198,9
455283,LAMP.LED  BULBO  T80 40W BR E27 MBIV,I - ILUMINACAO,40409.0,1078697.0010750892,5661,9
473195,PAINEL LED EMB. 18W BR QUAD.    MBIV,I - ILUMINACAO,38357.0,574123.989303928,1927,9
455282,LAMP.LED  BULBO  T70 30W BR E27 MBIV,I - ILUMINACAO,37271.0,739146.1005081586,5437,9
457489,LAMP.LED  BULBO  T60 20W BR E27 MBIV,I - ILUMINACAO,36771.0,503423.8394810212,4850,9
464493,TRAVESS.050X070 BEM VIVER SUP. FIRME,"K - CAMA, MESA E BANHO",35731.0,1571732.3442749116,1988,9
454313,REFLETOR LED AL.100W         IP65 BR,I - ILUMINACAO,32731.0,1837577.5223600029,3929,10
462852,DISJ.UNIP.C DIN  20A       GII-C020A,E - MATERIAIS ELETRICOS,32707.0,289423.54763589747,4057,9
462850,DISJ.UNIP.C DIN  16A       GII-C016A,E - MATERIAIS ELETRICOS,31812.0,281972.601925,4345,9
411799,FACA MESA (AV) SAVANNAH       SH1124,B - UTILIDADES DOMESTICAS,31607.0,161465.74850000002,1827,9
439683,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,31234.0,628538.3457198434,2695,9
429456,TOM.CJ.2T 2P+T 10A        LGX303 POP,E - MATERIAIS ELETRICOS,29507.0,534192.1515833334,3460,9
462838,DISJ.UNIP.C DIN  25A       GII-C025A,E - MATERIAIS ELETRICOS,26502.0,237564.20551666667,4530,9
369633,CANALETA S/DIV. ADESIV. 10X10 2MT BR,E - MATERIAIS ELETRICOS,25576.0,198551.7680901515,2956,9
482509,REFLETOR LED AL.50W          5954 BR,I - ILUMINACAO,23785.0,718065.5587621151,2143,9
