tipo_triagem,CODIGO,DESCRICAO,NIVEL_1,nivel_confianca,status_decisao_final,regra_usada,evidencia,dado_faltante,limitacao,risco_decisao,proxima_validacao_necessaria,acao_recomendada
compras_triagem_bruta,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=161450.42; compra_bruta_sugerida=174720.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,326263,SUPORTE 4X2 3MOD.  BR 850200DUALE UP,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=116556.57; compra_bruta_sugerida=126137.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,429459,INT.SPL CJ.1S 10A         LGZ010 POP,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=65055.37; compra_bruta_sugerida=70402.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,432048,MASSA CORRIDA PVA CORAL PLS     25KG,S - TINTAS E QUIMICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=63820.16; compra_bruta_sugerida=69066.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,454313,REFLETOR LED AL.100W         IP65 BR,I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=27544.07; compra_bruta_sugerida=29808.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,455282,LAMP.LED  BULBO  T70 30W BR E27 MBIV,I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=21607.68; compra_bruta_sugerida=23384.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,455283,LAMP.LED  BULBO  T80 40W BR E27 MBIV,I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=20837.10; compra_bruta_sugerida=22550.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,429456,TOM.CJ.2T 2P+T 10A        LGX303 POP,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=18371.29; compra_bruta_sugerida=19881.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,474263,"PORCEL.A 60X60 EPO.MARMO RT   1,80M2",C - PISOS E REVESTIMENTOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=17712.92; compra_bruta_sugerida=19169.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,447868,PRATO RASO PORC.28CM    PEIXES 80000,B - UTILIDADES DOMESTICAS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=15702.71; compra_bruta_sugerida=16993.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,462838,DISJ.UNIP.C DIN  25A       GII-C025A,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=15489.37; compra_bruta_sugerida=16762.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,457489,LAMP.LED  BULBO  T60 20W BR E27 MBIV,I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=15384.28; compra_bruta_sugerida=16649.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,489647,PANELA PRESSAO ANTIAD.4.5L   5306897,B - UTILIDADES DOMESTICAS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=14183.73; compra_bruta_sugerida=15350.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,462850,DISJ.UNIP.C DIN  16A       GII-C016A,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=14062.78; compra_bruta_sugerida=15219.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,454887,"LAMP.LED MR16 4,0W AM GU10 3000K BIV",I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=11849.24; compra_bruta_sugerida=12823.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,462852,DISJ.UNIP.C DIN  20A       GII-C020A,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=11349.75; compra_bruta_sugerida=12283.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,472051,TAPETE BANH.TEC.040X060 DALLAS SORT2,U - METAIS E ACESSORIOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=11316.56; compra_bruta_sugerida=12247.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,473195,PAINEL LED EMB. 18W BR QUAD.    MBIV,I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=9878.74; compra_bruta_sugerida=10691.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,462830,DISJ.UNIP.C DIN  32A       GII-C032A,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=9802.38; compra_bruta_sugerida=10608.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,454888,"LAMP.LED MR16 7,0W AM GU10 3000K BIV",I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=9616.10; compra_bruta_sugerida=10406.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,456722,LAMP.LED  BULBO T100 50W BR E27 MBIV,I - ILUMINACAO,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=9246.20; compra_bruta_sugerida=10006.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
compras_triagem_bruta,462831,DISJ.UNIP.C DIN  40A       GII-C040A,E - MATERIAIS ELETRICOS,BLOQUEADO,BLOQUEADO,tendencia linear da venda observada por produto com indice sazonal por categoria; estoque de seguranca de 30 dias,venda_observada_projetada_2026=9166.11; compra_bruta_sugerida=9919.00; status_compra_liquida=BLOQUEADO,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial","NÃO VALIDADO: projeção usa venda observada e pode estar limitada por disponibilidade, mix, sazonalidade e cobertura parcial de entradas; há meses com sortimento observado abaixo do esperado dado o volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar estoque atual, margem, lead time, lote minimo e fornecedor",Usar como fila de validacao de compra bruta; pedido final permanece bloqueado
