tipo_triagem,CODIGO,DESCRICAO,NIVEL_1,nivel_confianca,status_decisao_final,regra_usada,evidencia,dado_faltante,limitacao,risco_decisao,proxima_validacao_necessaria,acao_recomendada
promocao_possivel,450311,"CER.A 46X46 PSI67020       P4 2,58M2",C - PISOS E REVESTIMENTOS,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=46303.27; receita=1544917.12; lojas_com_estoque_parado=8,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,411797,GARFO MESA (AV) SAVANNAH      SH1122,B - UTILIDADES DOMESTICAS,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=45190.00; receita=205864.70; lojas_com_estoque_parado=8,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,411799,FACA MESA (AV) SAVANNAH       SH1124,B - UTILIDADES DOMESTICAS,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=36535.00; receita=161465.75; lojas_com_estoque_parado=8,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=36380.00; receita=1299370.49; lojas_com_estoque_parado=1,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,464493,TRAVESS.050X070 BEM VIVER SUP. FIRME,"K - CAMA, MESA E BANHO",Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=35545.00; receita=1571732.34; lojas_com_estoque_parado=8,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,459357,PANO COPA MULTIFLEX  42X065  SORTIDO,"K - CAMA, MESA E BANHO",Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=21991.00; receita=161011.54; lojas_com_estoque_parado=8,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,455048,LAMP.LED  BULBO KIT03 7W BR E27 MBIV,I - ILUMINACAO,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=19545.00; receita=85313.65; lojas_com_estoque_parado=6,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,439683,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=13398.00; receita=628538.35; lojas_com_estoque_parado=8,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,472114,PRATO SMES.CER.18CM           092981,B - UTILIDADES DOMESTICAS,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=12311.00; receita=110979.87; lojas_com_estoque_parado=2,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
promocao_possivel,275675,TIGELA CER.CEREAL 600ML AM E01B-0654,B - UTILIDADES DOMESTICAS,Baixa,BLOQUEADO,estoque parado legado com alguma venda observada,estoque_parado_total=11982.00; receita=139411.81; lojas_com_estoque_parado=3,"DADO AUSENTE: margem, estoque atual confiavel, lead time, lote minimo, fornecedor e plano comercial",NÃO VALIDADO: estoque parado usa estoque inicial e nao confirma disponibilidade atual,"Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, estoque atual, campanha, categoria e substitutos",Avaliar campanha piloto somente apos validacao comercial e financeira
