tipo_triagem,CODIGO,DESCRICAO,NIVEL_1,nivel_confianca,status_decisao_final,regra_usada,evidencia,dado_faltante,limitacao,risco_decisao,proxima_validacao_necessaria,acao_recomendada
repricing_investigacao_correlacao,260322,"TINT.ESM.DIAL.B.AGUA BR 3,6L   PRETO",S - TINTAS E QUIMICOS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.7465; n_obs=48; receita_total=71684.72,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,260321,"TINT.ESM.DIAL.B.AGUA BR 3,6L PLATINA",S - TINTAS E QUIMICOS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.7349; n_obs=51; receita_total=73078.53,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,488930,FERRO PASSAR SEC.  HD1172/82 CZ M127,D - ELETROS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6975; n_obs=27; receita_total=51312.26,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,260323,"TINT.ESM.DIAL.B.AGUA BR 3,6L  TABACO",S - TINTAS E QUIMICOS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6963; n_obs=63; receita_total=102999.79,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,166393,MARTELETE ROT/ROMP. 800W  HR2470 110,F - FERRAMENTAS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6548; n_obs=70; receita_total=1679201.47,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,432628,"FRITAD.ELET 4,2L ULTRA TOUCH MF M220",D - ELETROS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6442; n_obs=18; receita_total=246973.06,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,453474,FILTRO LINHA  5TOM    DPS TP10A MBIV,E - MATERIAIS ELETRICOS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6439; n_obs=95; receita_total=104236.60,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,260273,"TINT.ESM.DIAL.B.AGUA BR 0,9L   PRETO",S - TINTAS E QUIMICOS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6416; n_obs=124; receita_total=87464.65,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,488473,RACK TV 1.40X0.58 PALADIO         BR,O - MOVEIS,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6269; n_obs=25; receita_total=76092.13,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
repricing_investigacao_correlacao,474294,TRILHO LED KIT 3 SPOT NE  5W PT MBIV,I - ILUMINACAO,Baixa,BLOQUEADO,correlacao_preco_volume < -0.4 e receita acima da mediana dos produtos validos,correlacao=-0.6242; n_obs=89; receita_total=163972.08,"DADO AUSENTE: margem, concorrencia, campanhas, disponibilidade e politica comercial","NÃO VALIDADO: sazonalidade, mix, campanhas, disponibilidade e loja podem variar junto com preco e volume","Risco de decisao operacional sem validacao: excesso de estoque, perda de margem ou corte indevido de SKU","Validar margem, concorrencia, campanhas e disponibilidade antes de teste controlado",Investigar preco e cadastro; qualquer ajuste exige aprovacao comercial
