periodicidade,periodo,NIVEL_1,receita,receita_ano_anterior,variacao_receita_yoy,receita_total_periodo,receita_total_ano_anterior,variacao_receita_total_yoy,contribuicao_queda_periodo,quantidade_vendida,qtd_vendida_estoque,qtd_vendida_estoque_ano_anterior,variacao_qtd_vendida_estoque_yoy,linhas_venda_diarias,linhas_venda_diarias_ano_anterior,skus_vendidos,skus_vendidos_ano_anterior,classificacao_categoria,interpretacao
mes,2024-01,A - AUTOMOTIVO,40842.312,,,26376144.383400485,0.0,,,502.0,502.0,,,215,,13,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,B - UTILIDADES DOMESTICAS,1417345.7374741435,,,26376144.383400485,0.0,,,49336.0,49358.0,,,12150,,400,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,C - PISOS E REVESTIMENTOS,2607282.442485,,,26376144.383400485,0.0,,,41468.71,41543.71,,,2355,,225,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,D - ELETROS,12441736.898436055,,,26376144.383400485,0.0,,,16703.0,16703.0,,,3455,,193,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,E - MATERIAIS ELETRICOS,406572.58564251167,,,26376144.383400485,0.0,,,26937.0,30396.0,,,5006,,107,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,F - FERRAMENTAS,369677.26575,,,26376144.383400485,0.0,,,977.0,977.0,,,529,,19,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,"G - PORTAS, JANELAS E FECHADURAS",331723.91000000003,,,26376144.383400485,0.0,,,2100.0,2100.0,,,842,,33,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,H - TUBOS E CONEXOES,29059.758,,,26376144.383400485,0.0,,,1151.0,1198.0,,,422,,23,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,I - ILUMINACAO,1175329.3651022727,,,26376144.383400485,0.0,,,21158.0,21202.0,,,5135,,177,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,J - JARDINAGEM,15796.515000000001,,,26376144.383400485,0.0,,,491.0,491.0,,,282,,7,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,"K - CAMA, MESA E BANHO",1175424.300409091,,,26376144.383400485,0.0,,,26391.0,26391.0,,,7996,,209,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,"L - INFANTIL, LAZER E PETS",57012.774000000005,,,26376144.383400485,0.0,,,787.0,787.0,,,436,,22,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,M - MAQUINAS E MOTORES,310790.445,,,26376144.383400485,0.0,,,224.0,224.0,,,197,,18,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,N - INDUSTRIAL E NEGOCIOS,210912.7335,,,26376144.383400485,0.0,,,992.0,992.0,,,453,,44,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,O - MOVEIS,1470306.3865,,,26376144.383400485,0.0,,,4894.0,4894.0,,,2566,,143,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,Q - BASICOS CONSTRUCAO,38782.957500000004,,,26376144.383400485,0.0,,,2447.0,2447.0,,,575,,22,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,R - ELETRONICOS,1308116.7245043004,,,26376144.383400485,0.0,,,651.0,651.0,,,214,,11,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,S - TINTAS E QUIMICOS,1026373.9176955402,,,26376144.383400485,0.0,,,10963.0,10983.0,,,2595,,60,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,T - ARTIGOS DE EPOCA,826.2450000000001,,,26376144.383400485,0.0,,,61.0,61.0,,,50,,1,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,U - METAIS E ACESSORIOS,1290176.7519015714,,,26376144.383400485,0.0,,,20889.0,20889.0,,,5000,,123,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,V - DECORACAO,314710.1475,,,26376144.383400485,0.0,,,4834.0,4834.0,,,1875,,77,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,W - LOUCAS E PIAS,332909.4825,,,26376144.383400485,0.0,,,879.0,879.0,,,595,,70,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-01,Y - EPI,4434.7275,,,26376144.383400485,0.0,,,312.0,312.0,,,104,,2,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,A - AUTOMOTIVO,53240.103,,,20436770.92506083,0.0,,,747.0,747.0,,,265,,13,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,B - UTILIDADES DOMESTICAS,1051426.583625,,,20436770.92506083,0.0,,,41479.0,41506.0,,,11532,,407,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,C - PISOS E REVESTIMENTOS,2654821.6511011366,,,20436770.92506083,0.0,,,48278.2,48278.2,,,2084,,222,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,D - ELETROS,8650630.444458447,,,20436770.92506083,0.0,,,12005.0,12005.0,,,3188,,173,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,E - MATERIAIS ELETRICOS,346972.1086159091,,,20436770.92506083,0.0,,,22505.0,25927.0,,,4657,,108,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,F - FERRAMENTAS,336085.701,,,20436770.92506083,0.0,,,1012.0,1012.0,,,523,,20,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,"G - PORTAS, JANELAS E FECHADURAS",276988.74,,,20436770.92506083,0.0,,,2068.0,2068.0,,,830,,33,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
mes,2024-02,H - TUBOS E CONEXOES,26452.429500000002,,,20436770.92506083,0.0,,,985.0,994.0,,,385,,22,,dados insuficientes,YoY compara mesmo periodo do ano anterior; venda observada nao mede demanda real
